word,count
foundation,26
anxious,26
hours,26
phillips,26
mother's,25
doing,25
persuaded,25
among,25
disposition,25
easy,25
giving,25
delight,25
express,25
bear,25
greater,25
master,25
got,25
children,25
change,25
entirely,25
followed,25
send,25
small,25
admiration,25
oh,25
thoughts,25
exceedingly,25
except,24
pretty,24
gratitude,24
several,24
temper,24
living,24
yes,24
hearing,24
brighton,24
paid,24
wanted,24
hand,24
collins's,24
state,24
derbyshire,24
acquainted,24
self,24
library,24
match,24
notice,24
happened,24
serious,24
attended,24
pounds,24
fear,24
marrying,23
whenever,23
remained,23
delighted,23
large,23
dislike,23
question,23
curiosity,23
used,23
spite,23
hopes,23
considered,23
conduct,23
prevented,23
especially,23
importance,23
anybody,23
sake,23
hunsford,23
directly,23
desire,23
degree,23
probably,23
inquiries,23
frequently,23
nature,23
meeting,22
hour,22
latter,22
voice,22
proud,22
relations,22
unless,22
further,22
pleasing,22
eliza,22
depend,22
true,22
natural,22
favour,22
son,22
inclination,22
park,22
written,22
company,22
seems,22
spent,22
praise,22
fair,22
fixed,22
event,22
receiving,21
journey,21
mistaken,21
listened,21
instead,21
expression,21
above,21
fortnight,21
pleasant,21
attempt,21
cause,21
wrote,21
intended,21
humour,21
public,21
understanding,21
trouble,21
favourite,21
agreement,21
thinking,21
design,21
live,21
drawing,21
madam,21
repeated,21
dancing,21
promised,21
sitting,21
sent,21
proper,20
equally,20
endeavour,20
remember,20
connection,20
vain,20
pray,20
particulars,20
times,20
purpose,20
address,20
hoped,20
niece,20
acknowledged,20
engagement,20
forced,20
estate,20
greatest,20
ready,20
need,20
choose,20
knowledge,20
circumstance,19
summer,19
affected,19
intelligence,19
danger,19
fancy,19
join,19
resolution,19
common,19
nephew,19
charming,19
comprehend,19
father's,19
drew,19
regret,19
regiment,19
late,19
months,19
eldest,19
anxiety,19
strong,19
women,18
delightful,18
street,18
taking,18
bring,18
removed,18
effect,18
expectation,18
accept,18
light,18
play,18
felicity,18
excellent,18
none,18
vanity,18
health,18
chance,18
maria,18
persuade,18
capable,18
evident,18
success,18
superior,18
leaving,18
concerned,18
affair,18
led,18
stairs,18
avoid,18
parsonage,18
civil,18
connections,18
slight,18
admire,18
accepted,18
weeks,18
pause,18
future,18
smiled,18
cold,18
reached,18
forget,17
round,17
indifference,17
resentment,17
addressed,17
beg,17
charlotte's,17
saturday,17
scheme,17
open,17
sight,17
view,17
disappointment,17
readily,17
united,17
dining,17
promise,17
angry,17
kept,17
affectionate,17
likewise,17
loss,17
perfect,17
high,17
wait,17
prevent,17
report,17
book,17
ease,17
form,17
proved,17
motive,17
politeness,17
absolutely,17
partner,17
please,17
scene,16
dearest,16
nobody,16
catherine's,16
chose,16
related,16
suddenly,16
otherwise,16
tone,16
became,16
pass,16
spoken,16
ashamed,16
miles,16
fond,16
comes,16
composure,16
tried,16
extraordinary,16
dine,16
writing,16
letters,16
thank,16
opened,16
indifferent,16
formed,16
distress,16
chief,16
generally,16
window,16
ignorant,16
companion,16
distance,16
seem,16
conviction,16
questions,16
step,16
confess,16
earnest,15
share,15
winter,15
fortunate,15
agree,15
eye,15
sit,15
reasonable,15
trust,15
marked,15
laugh,15
pardon,15
choice,15
justice,15
wrong,15
declared,15
farther,15
arrived,15
belief,15
reading,15
housekeeper,15
old,15
age,15
beautiful,15
objection,15
excuse,15
disposed,15
advice,15
servant,15
calling,15
principal,15
extremely,15
bad,15
says,15
worth,15
lively,15
intention,15
license,15
blame,15
donations,15
prevailed,15
period,15
seated,15
assurance,15
duty,15
interesting,14
astonished,14
fact,14
kent,14
secure,14
aware,14
sentence,14
prospect,14
greatly,14
unable,14
tolerable,14
wedding,14
meaning,14
struck,14
visitors,14
asking,14
produced,14
immediate,14
twice,14
behind,14
tolerably,14
observation,14
supposing,14
learnt,14
elegant,14
misery,14
gratified,14
thanks,14
alarm,14
occurred,14
lived,14
wishing,14
determine,14
painful,14
compassion,14
influence,14
consideration,14
assistance,14
eagerly,14
parted,14
charge,14
disagreeable,14
connected,14
states,14
evil,14
possibility,14
child,14
creature,14
respectable,14
stood,14
yours,14
leisure,13
conceal,13
deceived,13
brother's,13
anger,13
finding,13
partiality,13
lucases,13
plan,13
gardiner's,13
copyright,13
relief,13
suffer,13
frequent,13
road,13
etc,13
archive,13
